SystemID,T,SystemIteration,Error,Timeout,Size
8,1,1,false,false,3
8,1,2,false,false,3
8,1,3,false,false,3
8,1,4,false,false,3
8,1,5,false,false,3
8,2,1,false,false,27
8,2,2,false,false,28
8,2,3,false,false,28
8,2,4,false,false,28
8,2,5,false,false,26
8,3,1,false,false,171
8,3,2,false,false,162
8,3,3,false,false,178
8,3,4,false,false,170
8,3,5,false,false,162
45,1,1,false,false,3
45,1,2,false,false,3
45,1,3,false,false,3
45,1,4,false,false,3
45,1,5,false,false,3
45,2,1,false,false,27
45,2,2,false,false,28
45,2,3,false,false,25
45,2,4,false,false,26
45,2,5,false,false,26
45,3,1,false,false,160
45,3,2,false,false,154
45,3,3,false,false,154
45,3,4,false,false,163
45,3,5,false,false,164
7,1,1,false,false,4
7,1,2,false,false,4
7,1,3,false,false,4
7,1,4,false,false,4
7,1,5,false,false,4
7,2,1,false,false,37
7,2,2,false,false,32
7,2,3,false,false,35
7,2,4,false,false,36
7,2,5,false,false,36
7,3,1,false,false,214
7,3,2,false,false,214
7,3,3,false,false,214
7,3,4,false,false,209
7,3,5,false,false,214
43,1,1,false,false,7
43,1,2,false,false,7
43,1,3,false,false,7
43,1,4,false,false,7
43,1,5,false,false,7
43,2,1,false,false,70
43,2,2,false,false,64
43,2,3,false,false,70
43,2,4,false,false,66
43,2,5,false,false,69
43,3,1,false,false,600
43,3,2,false,false,584
43,3,3,false,false,571
43,3,4,false,false,610
43,3,5,false,false,611
27,1,1,false,false,5
27,1,2,false,false,5
27,1,3,false,false,5
27,1,4,false,false,5
27,1,5,false,false,5
27,2,1,false,false,49
27,2,2,false,false,51
27,2,3,false,false,52
27,2,4,false,false,53
27,2,5,false,false,51
27,3,1,false,false,366
27,3,2,false,false,366
27,3,3,false,false,366
27,3,4,false,false,366
27,3,5,false,false,366
38,1,1,false,false,312
38,1,2,false,false,312
38,1,3,false,false,312
38,1,4,false,false,312
38,1,5,false,false,312
38,2,1,false,false,398
38,2,2,false,false,398
38,2,3,false,false,398
38,2,4,false,false,398
38,2,5,false,false,398
38,3,1,false,false,430
38,3,2,false,false,430
38,3,3,false,false,430
