SystemID,Iteration,core,atomic
33,10,13886708,3509656320
3,1,117243704,94694023168
3,2,117116232,93091610624
3,3,129763664,93327802368
3,4,117209720,93581631488
3,5,116542112,93277544448
3,6,117303384,93455769600
3,7,118544632,93765050368
3,8,117154208,93248946176
3,9,116332496,93377134592
3,10,117190208,93542834176
